GISJOIN,STATE,STATEA,SMSA,SMSAA,COUNTY,COUNTYA,TRACTA,BLOCKA,TOTAL_POP
G36008100964308,New York,36,"NEW YORK, N.Y.-N.J.",5600,Queens,081,0964,308,112
G36008100964309,New York,36,"NEW YORK, N.Y.-N.J.",5600,Queens,081,0964,309,68
G36008100964313,New York,36,"NEW YORK, N.Y.-N.J.",5600,Queens,081,0964,313,11
G36008100964316,New York,36,"NEW YORK, N.Y.-N.J.",5600,Queens,081,0964,316,42
G3600810107202903,New York,36,"NEW YORK, N.Y.-N.J.",5600,Queens,081,107202,903,0
G36008101097209,New York,36,"NEW YORK, N.Y.-N.J.",5600,Queens,081,1097,209,0
G36008101113214,New York,36,"NEW YORK, N.Y.-N.J.",5600,Queens,081,1113,214,54
G36008101207203,New York,36,"NEW YORK, N.Y.-N.J.",5600,Queens,081,1207,203,92
G36008101429108,New York,36,"NEW YORK, N.Y.-N.J.",5600,Queens,081,1429,108,100
G3600850001599100,New York,36,"NEW YORK, N.Y.-N.J.",5600,Richmond,085,001599,100,31
G3600850015601114,New York,36,"NEW YORK, N.Y.-N.J.",5600,Richmond,085,015601,114,35
G36008500164102,New York,36,"NEW YORK, N.Y.-N.J.",5600,Richmond,085,0164,102,47
G36008500164103,New York,36,"NEW YORK, N.Y.-N.J.",5600,Richmond,085,0164,103,40
G36008500164105,New York,36,"NEW YORK, N.Y.-N.J.",5600,Richmond,085,0164,105,5
G36008500164107,New York,36,"NEW YORK, N.Y.-N.J.",5600,Richmond,085,0164,107,0
G36008500164108,New York,36,"NEW YORK, N.Y.-N.J.",5600,Richmond,085,0164,108,0
G3600850017002236,New York,36,"NEW YORK, N.Y.-N.J.",5600,Richmond,085,017002,236,296
G36008500239112,New York,36,"NEW YORK, N.Y.-N.J.",5600,Richmond,085,0239,112,205
G36008500239113,New York,36,"NEW YORK, N.Y.-N.J.",5600,Richmond,085,0239,113,166
G3600850032399100,New York,36,"NEW YORK, N.Y.-N.J.",5600,Richmond,085,032399,100,30
G36008700101316,New York,36,"NEW YORK, N.Y.-N.J.",5600,Rockland,087,0101,316,0
G36008700101816,New York,36,"NEW YORK, N.Y.-N.J.",5600,Rockland,087,0101,816,121
G36008700107433,New York,36,"NEW YORK, N.Y.-N.J.",5600,Rockland,087,0107,433,0
G36008700112514,New York,36,"NEW YORK, N.Y.-N.J.",5600,Rockland,087,0112,514,166
G36008700113726,New York,36,"NEW YORK, N.Y.-N.J.",5600,Rockland,087,0113,726,0
G36008700115252,New York,36,"NEW YORK, N.Y.-N.J.",5600,Rockland,087,0115,252,43
G36008700115305,New York,36,"NEW YORK, N.Y.-N.J.",5600,Rockland,087,0115,305,105
G36008700115739,New York,36,"NEW YORK, N.Y.-N.J.",5600,Rockland,087,0115,739,67
G36008700116962,New York,36,"NEW YORK, N.Y.-N.J.",5600,Rockland,087,0116,962,90
G36008700117105,New York,36,"NEW YORK, N.Y.-N.J.",5600,Rockland,087,0117,105,0
G36008700118137,New York,36,"NEW YORK, N.Y.-N.J.",5600,Rockland,087,0118,137,84
G36008700118138,New York,36,"NEW YORK, N.Y.-N.J.",5600,Rockland,087,0118,138,179
G36008700121231,New York,36,"NEW YORK, N.Y.-N.J.",5600,Rockland,087,0121,231,0
G36008700123241,New York,36,"NEW YORK, N.Y.-N.J.",5600,Rockland,087,0123,241,4
G36008700124249,New York,36,"NEW YORK, N.Y.-N.J.",5600,Rockland,087,0124,249,306
G36008700130316,New York,36,"NEW YORK, N.Y.-N.J.",5600,Rockland,087,0130,316,197
G36008700130513,New York,36,"NEW YORK, N.Y.-N.J.",5600,Rockland,087,0130,513,65
G36008700133128,New York,36,"NEW YORK, N.Y.-N.J.",5600,Rockland,087,0133,128,0
G36008700134431,New York,36,"NEW YORK, N.Y.-N.J.",5600,Rockland,087,0134,431,30
G36008700134937,New York,36,"NEW YORK, N.Y.-N.J.",5600,Rockland,087,0134,937,42
G36008700134945,New York,36,"NEW YORK, N.Y.-N.J.",5600,Rockland,087,0134,945,0
G36011900048627,New York,36,"NEW YORK, N.Y.-N.J.",5600,Westchester,119,0048,627,318
G36011900051602,New York,36,"NEW YORK, N.Y.-N.J.",5600,Westchester,119,0051,602,0
G36011900053212,New York,36,"NEW YORK, N.Y.-N.J.",5600,Westchester,119,0053,212,23
G36011900055402,New York,36,"NEW YORK, N.Y.-N.J.",5600,Westchester,119,0055,402,0
G36011900060203,New York,36,"NEW YORK, N.Y.-N.J.",5600,Westchester,119,0060,203,0
G3601190006801608,New York,36,"NEW YORK, N.Y.-N.J.",5600,Westchester,119,006801,608,54
G36011900073126,New York,36,"NEW YORK, N.Y.-N.J.",5600,Westchester,119,0073,126,0
G36011900075303,New York,36,"NEW YORK, N.Y.-N.J.",5600,Westchester,119,0075,303,0
G36011900077332,New York,36,"NEW YORK, N.Y.-N.J.",5600,Westchester,119,0077,332,184
G36011900077416,New York,36,"NEW YORK, N.Y.-N.J.",5600,Westchester,119,0077,416,11
G3601190008301307,New York,36,"NEW YORK, N.Y.-N.J.",5600,Westchester,119,008301,307,120
G3601190008301502,New York,36,"NEW YORK, N.Y.-N.J.",5600,Westchester,119,008301,502,0
G3601190008401215,New York,36,"NEW YORK, N.Y.-N.J.",5600,Westchester,119,008401,215,0
G3601190008404309,New York,36,"NEW YORK, N.Y.-N.J.",5600,Westchester,119,008404,309,77
G36011900085907,New York,36,"NEW YORK, N.Y.-N.J.",5600,Westchester,119,0085,907,0
G36011900086911,New York,36,"NEW YORK, N.Y.-N.J.",5600,Westchester,119,0086,911,0
G36011900087512,New York,36,"NEW YORK, N.Y.-N.J.",5600,Westchester,119,0087,512,0
