GISJOIN,STATE,STATEA,SMSA,SMSAA,COUNTY,COUNTYA,TRACTA,BLOCKA
G36006100319804,New York,36,"NEW YORK, N.Y.-N.J.",5600,New York,061,0319,804
G36006100319805,New York,36,"NEW YORK, N.Y.-N.J.",5600,New York,061,0319,805
G36006100319807,New York,36,"NEW YORK, N.Y.-N.J.",5600,New York,061,0319,807
G36006100319808,New York,36,"NEW YORK, N.Y.-N.J.",5600,New York,061,0319,808
G36006100319809,New York,36,"NEW YORK, N.Y.-N.J.",5600,New York,061,0319,809
G36006100319810,New York,36,"NEW YORK, N.Y.-N.J.",5600,New York,061,0319,810
G36006100319901,New York,36,"NEW YORK, N.Y.-N.J.",5600,New York,061,0319,901
G36007900102952,New York,36,"NEW YORK, N.Y.-N.J.",5600,Putnam,079,0102,952
G36007900102960,New York,36,"NEW YORK, N.Y.-N.J.",5600,Putnam,079,0102,960
G36007900106921,New York,36,"NEW YORK, N.Y.-N.J.",5600,Putnam,079,0106,921
G36007900112312,New York,36,"NEW YORK, N.Y.-N.J.",5600,Putnam,079,0112,312
G36007900112327,New York,36,"NEW YORK, N.Y.-N.J.",5600,Putnam,079,0112,327
G36007900114201,New York,36,"NEW YORK, N.Y.-N.J.",5600,Putnam,079,0114,201
G36007900114303,New York,36,"NEW YORK, N.Y.-N.J.",5600,Putnam,079,0114,303
G36007900116205,New York,36,"NEW YORK, N.Y.-N.J.",5600,Putnam,079,0116,205
G36007900117321,New York,36,"NEW YORK, N.Y.-N.J.",5600,Putnam,079,0117,321
G36008100001123,New York,36,"NEW YORK, N.Y.-N.J.",5600,Queens,081,0001,123
G36008100001124,New York,36,"NEW YORK, N.Y.-N.J.",5600,Queens,081,0001,124
G36008100007106,New York,36,"NEW YORK, N.Y.-N.J.",5600,Queens,081,0007,106
G36008100071404,New York,36,"NEW YORK, N.Y.-N.J.",5600,Queens,081,0071,404
G36008100095201,New York,36,"NEW YORK, N.Y.-N.J.",5600,Queens,081,0095,201
G36008100095202,New York,36,"NEW YORK, N.Y.-N.J.",5600,Queens,081,0095,202
G36008100137116,New York,36,"NEW YORK, N.Y.-N.J.",5600,Queens,081,0137,116
G36008100191111,New York,36,"NEW YORK, N.Y.-N.J.",5600,Queens,081,0191,111
G36008100197201,New York,36,"NEW YORK, N.Y.-N.J.",5600,Queens,081,0197,201
G3600810020501101,New York,36,"NEW YORK, N.Y.-N.J.",5600,Queens,081,020501,101
G3600810020501402,New York,36,"NEW YORK, N.Y.-N.J.",5600,Queens,081,020501,402
G36008100208110,New York,36,"NEW YORK, N.Y.-N.J.",5600,Queens,081,0208,110
G36008100219220,New York,36,"NEW YORK, N.Y.-N.J.",5600,Queens,081,0219,220
G36008100263302,New York,36,"NEW YORK, N.Y.-N.J.",5600,Queens,081,0263,302
G36008100299308,New York,36,"NEW YORK, N.Y.-N.J.",5600,Queens,081,0299,308
G36008100320111,New York,36,"NEW YORK, N.Y.-N.J.",5600,Queens,081,0320,111
G36008100331101,New York,36,"NEW YORK, N.Y.-N.J.",5600,Queens,081,0331,101
G36008100383905,New York,36,"NEW YORK, N.Y.-N.J.",5600,Queens,081,0383,905
G36008100399902,New York,36,"NEW YORK, N.Y.-N.J.",5600,Queens,081,0399,902
G36008100458203,New York,36,"NEW YORK, N.Y.-N.J.",5600,Queens,081,0458,203
G36008100555202,New York,36,"NEW YORK, N.Y.-N.J.",5600,Queens,081,0555,202
G36008100690111,New York,36,"NEW YORK, N.Y.-N.J.",5600,Queens,081,0690,111
G3600810069702105,New York,36,"NEW YORK, N.Y.-N.J.",5600,Queens,081,069702,105
G3600810084602901,New York,36,"NEW YORK, N.Y.-N.J.",5600,Queens,081,084602,901
G36008100884901,New York,36,"NEW YORK, N.Y.-N.J.",5600,Queens,081,0884,901
G36008100889113,New York,36,"NEW YORK, N.Y.-N.J.",5600,Queens,081,0889,113
G36008100938118,New York,36,"NEW YORK, N.Y.-N.J.",5600,Queens,081,0938,118
G36008100972317,New York,36,"NEW YORK, N.Y.-N.J.",5600,Queens,081,0972,317
G36008100973403,New York,36,"NEW YORK, N.Y.-N.J.",5600,Queens,081,0973,403
G36008100987119,New York,36,"NEW YORK, N.Y.-N.J.",5600,Queens,081,0987,119
G36008101175309,New York,36,"NEW YORK, N.Y.-N.J.",5600,Queens,081,1175,309
G36008101207201,New York,36,"NEW YORK, N.Y.-N.J.",5600,Queens,081,1207,201
G36008101223101,New York,36,"NEW YORK, N.Y.-N.J.",5600,Queens,081,1223,101
G36008101283105,New York,36,"NEW YORK, N.Y.-N.J.",5600,Queens,081,1283,105
G36008101283112,New York,36,"NEW YORK, N.Y.-N.J.",5600,Queens,081,1283,112
G36008101429105,New York,36,"NEW YORK, N.Y.-N.J.",5600,Queens,081,1429,105
G3600850011402304,New York,36,"NEW YORK, N.Y.-N.J.",5600,Richmond,085,011402,304
G3600850012803212,New York,36,"NEW YORK, N.Y.-N.J.",5600,Richmond,085,012803,212
G3600850014602101,New York,36,"NEW YORK, N.Y.-N.J.",5600,Richmond,085,014602,101
G36008500154323,New York,36,"NEW YORK, N.Y.-N.J.",5600,Richmond,085,0154,323
