ZIP Code,HUD Area Code,HUD Fair Market Rent Area Name,SAFMR 0BR,SAFMR 0BR - 90% Payment Standard,SAFMR 0BR - 110% Payment Standard,SAFMR 1BR,SAFMR 1BR - 90% Payment Standard,SAFMR 1BR - 110% Payment Standard,SAFMR 2BR,SAFMR 2BR - 90% Payment Standard,SAFMR 2BR - 110% Payment Standard,SAFMR 3BR,SAFMR 3BR - 90% Payment Standard,SAFMR 3BR - 110% Payment Standard,SAFMR 4BR,SAFMR 4BR - 90% Payment Standard,SAFMR 4BR - 110% Payment Standard
10532,METRO35620MM5600,"New York, NY HUD Metro FMR Area","$3,310","$2,979","$3,641","$3,450","$3,105","$3,795","$3,820","$3,438","$4,202","$4,760","$4,284","$5,236","$5,140","$4,626","$5,654"
10533,METRO35620MM5600,"New York, NY HUD Metro FMR Area","$2,470","$2,223","$2,717","$2,580","$2,322","$2,838","$2,860","$2,574","$3,146","$3,560","$3,204","$3,916","$3,850","$3,465","$4,235"
10535,METRO35620MM5600,"New York, NY HUD Metro FMR Area","$2,420","$2,178","$2,662","$2,530","$2,277","$2,783","$2,800","$2,520","$3,080","$3,490","$3,141","$3,839","$3,760","$3,384","$4,136"
10536,METRO35620MM5600,"New York, NY HUD Metro FMR Area","$3,350","$3,015","$3,685","$3,500","$3,150","$3,850","$3,870","$3,483","$4,257","$4,820","$4,338","$5,302","$5,200","$4,680","$5,720"
10537,METRO35620MM5600,"New York, NY HUD Metro FMR Area","$2,810","$2,529","$3,091","$2,940","$2,646","$3,234","$3,250","$2,925","$3,575","$4,050","$3,645","$4,455","$4,370","$3,933","$4,807"
10538,METRO35620MM5600,"New York, NY HUD Metro FMR Area","$2,550","$2,295","$2,805","$2,660","$2,394","$2,926","$2,950","$2,655","$3,245","$3,680","$3,312","$4,048","$3,970","$3,573","$4,367"
10540,METRO35620MM5600,"New York, NY HUD Metro FMR Area","$2,660","$2,394","$2,926","$2,770","$2,493","$3,047","$3,070","$2,763","$3,377","$3,820","$3,438","$4,202","$4,130","$3,717","$4,543"
10541,METRO35620MM5600,"New York, NY HUD Metro FMR Area","$2,250","$2,025","$2,475","$2,350","$2,115","$2,585","$2,600","$2,340","$2,860","$3,240","$2,916","$3,564","$3,500","$3,150","$3,850"
10542,METRO35620MM5600,"New York, NY HUD Metro FMR Area","$2,150","$1,935","$2,365","$2,210","$1,989","$2,431","$2,480","$2,232","$2,728","$3,100","$2,790","$3,410","$3,330","$2,997","$3,663"
10543,METRO35620MM5600,"New York, NY HUD Metro FMR Area","$2,530","$2,277","$2,783","$2,640","$2,376","$2,904","$2,920","$2,628","$3,212","$3,640","$3,276","$4,004","$3,930","$3,537","$4,323"
10545,METRO35620MM5600,"New York, NY HUD Metro FMR Area","$2,450","$2,205","$2,695","$2,560","$2,304","$2,816","$2,830","$2,547","$3,113","$3,530","$3,177","$3,883","$3,810","$3,429","$4,191"
10546,METRO35620MM5600,"New York, NY HUD Metro FMR Area","$2,730","$2,457","$3,003","$2,850","$2,565","$3,135","$3,180","$2,862","$3,498","$3,930","$3,537","$4,323","$4,240","$3,816","$4,664"
10547,METRO35620MM5600,"New York, NY HUD Metro FMR Area","$2,430","$2,187","$2,673","$2,540","$2,286","$2,794","$2,810","$2,529","$3,091","$3,500","$3,150","$3,850","$3,780","$3,402","$4,158"
10548,METRO35620MM5600,"New York, NY HUD Metro FMR Area","$1,900","$1,710","$2,090","$1,980","$1,782","$2,178","$2,190","$1,971","$2,409","$2,730","$2,457","$3,003","$2,940","$2,646","$3,234"
10549,METRO35620MM5600,"New York, NY HUD Metro FMR Area","$2,270","$2,043","$2,497","$2,370","$2,133","$2,607","$2,620","$2,358","$2,882","$3,270","$2,943","$3,597","$3,520","$3,168","$3,872"
10550,METRO35620MM5600,"New York, NY HUD Metro FMR Area","$2,020","$1,818","$2,222","$2,100","$1,890","$2,310","$2,330","$2,097","$2,563","$2,900","$2,610","$3,190","$3,130","$2,817","$3,443"
10551,METRO35620MM5600,"New York, NY HUD Metro FMR Area","$2,270","$2,043","$2,497","$2,370","$2,133","$2,607","$2,620","$2,358","$2,882","$3,270","$2,943","$3,597","$3,520","$3,168","$3,872"
10552,METRO35620MM5600,"New York, NY HUD Metro FMR Area","$2,090","$1,881","$2,299","$2,190","$1,971","$2,409","$2,420","$2,178","$2,662","$3,020","$2,718","$3,322","$3,250","$2,925","$3,575"
10553,METRO35620MM5600,"New York, NY HUD Metro FMR Area","$2,090","$1,881","$2,299","$2,180","$1,962","$2,398","$2,410","$2,169","$2,651","$3,000","$2,700","$3,300","$3,240","$2,916","$3,564"
10560,METRO35620MM5600,"New York, NY HUD Metro FMR Area","$2,600","$2,340","$2,860","$2,720","$2,448","$2,992","$3,010","$2,709","$3,311","$3,750","$3,375","$4,125","$4,050","$3,645","$4,455"
10562,METRO35620MM5600,"New York, NY HUD Metro FMR Area","$2,450","$2,205","$2,695","$2,560","$2,304","$2,816","$2,830","$2,547","$3,113","$3,530","$3,177","$3,883","$3,810","$3,429","$4,191"
10566,METRO35620MM5600,"New York, NY HUD Metro FMR Area","$2,250","$2,025","$2,475","$2,350","$2,115","$2,585","$2,600","$2,340","$2,860","$3,240","$2,916","$3,564","$3,500","$3,150","$3,850"
10567,METRO35620MM5600,"New York, NY HUD Metro FMR Area","$2,590","$2,331","$2,849","$2,700","$2,430","$2,970","$2,990","$2,691","$3,289","$3,730","$3,357","$4,103","$4,020","$3,618","$4,422"
