"GEO_ID","NAME","P8_001N","P8_002N","P8_003N","P8_004N","P8_005N","P8_006N","P8_007N","P8_008N","P8_009N","P8_010N","P8_011N","P8_012N","P8_013N","P8_014N","P8_015N","P8_016N","P8_017N","P8_018N","P8_019N","P8_020N","P8_021N","P8_022N","P8_023N","P8_024N","P8_025N","P8_026N","P8_027N","P8_028N","P8_029N","P8_030N","P8_031N","P8_032N","P8_033N","P8_034N","P8_035N","P8_036N","P8_037N","P8_038N","P8_039N","P8_040N","P8_041N","P8_042N","P8_043N","P8_044N","P8_045N","P8_046N","P8_047N","P8_048N","P8_049N","P8_050N","P8_051N","P8_052N","P8_053N","P8_054N","P8_055N","P8_056N","P8_057N","P8_058N","P8_059N","P8_060N","P8_061N","P8_062N","P8_063N","P8_064N","P8_065N","P8_066N","P8_067N","P8_068N","P8_069N","P8_070N","P8_071N",
"860Z200US13027","ZCTA5 13027","34507","32506","30963","693","110","423","9","308","2001","1913","317","481","208","19","825","17","9","0","24","5","0","3","3","0","2","76","32","3","0","12","3","0","12","5","1","0","0","0","5","1","1","0","0","0","0","1","12","0","0","6","0","1","0","1","0","0","3","0","0","0","0","1","0","0","0","0","0","0","0","0","0",
"860Z200US13028","ZCTA5 13028","1217","1173","1161","5","4","0","0","3","44","44","7","21","1","0","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"860Z200US13029","ZCTA5 13029","7118","6652","6383","85","22","99","0","63","466","449","53","111","39","0","231","4","5","0","2","0","0","0","1","3","0","17","13","1","0","2","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"860Z200US13030","ZCTA5 13030","3754","3562","3468","22","29","21","2","20","192","184","21","67","15","1","68","0","5","0","4","0","0","2","0","1","0","8","0","1","0","0","0","0","1","1","0","0","0","0","2","0","0","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"860Z200US13031","ZCTA5 13031","16335","15503","14611","424","55","285","6","122","832","797","142","183","106","1","322","9","7","0","20","2","0","0","4","1","0","28","6","9","0","6","0","0","3","1","0","0","0","0","2","0","1","0","0","0","0","0","7","0","0","4","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"860Z200US13032","ZCTA5 13032","12336","11637","11315","108","103","46","3","62","699","685","116","233","40","0","285","4","0","0","4","1","0","1","1","0","0","14","8","0","0","1","3","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"860Z200US13033","ZCTA5 13033","3763","3549","3484","15","14","6","8","22","214","202","25","76","11","0","84","0","3","0","2","0","1","0","0","0","0","10","1","3","0","1","0","0","1","0","2","0","0","0","0","0","0","0","0","0","0","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0",
"860Z200US13034","ZCTA5 13034","1836","1754","1703","21","4","3","0","23","82","78","20","25","1","1","30","0","0","0","0","0","0","0","0","1","0","4","1","0","0","0","0","0","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"860Z200US13035","ZCTA5 13035","8226","7808","7558","101","18","48","2","81","418","389","44","78","32","2","213","7","0","3","5","1","0","3","0","1","0","19","3","0","0","0","2","0","6","0","3","0","3","0","0","1","0","0","0","1","0","0","9","2","0","3","2","0","0","2","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0",
"860Z200US13036","ZCTA5 13036","8601","8166","8016","40","39","32","1","38","435","426","31","197","20","1","160","5","2","0","9","1","0","0","0","0","0","6","1","0","0","0","1","0","0","0","0","0","0","0","1","0","3","0","0","0","0","0","2","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1",
